kategoria,nazwa,adres,teryt_gmina
przedszkole,INTEGRACYJNE PRZEDSZKOLE SAMORZĄDOWE NR 27 W KIELCACH,"Marszałkowska 11a, 25-533 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 28 IM. CZESŁAWA JANCZARSKIEGO W KIELCACH,"Różana 12, 25-729 Kielce",2661011
przedszkole,PUBLICZNE PRZEDSZKOLE W MIKSTACIE,"Estkowskiego 11, 63-510 Mikstat",3018064
przedszkole,PRZEDSZKOLE MIEJSKIE NR 18 W GLIWICACH,"Brzozowa 50, 44-100 Gliwice",2466011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 31 W KIELCACH,"Księżniczki Dąbrówki 38, 25-631 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 32 W KIELCACH,"Jana Kasprowicza 5, 25-411 Kielce",2661011
przedszkole,SAMORZĄDOWE PRZEDSZKOLE NR 2 W PRZECISZOWIE,"Podlesie 90, 32-641 Przeciszów",1213082
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 33 W KIELCACH,"Romualda 6, 25-322 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 34 W KIELCACH,"Sylwestra Kowalczewskiego 9, 25-635 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 35 W KIELCACH,"Władysława Orkana 13, 25-547 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 36 W KIELCACH,"Tujowa 2, 25-209 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 39 W KIELCACH,"Barwinek 31, 25-150 Kielce",2661011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 40 W KIELCACH,"Marszałka Józefa Piłsudskiego 30, 25-430 Kielce",2661011
przedszkole,PRZEDSZKOLE MIEJSKIE NR 7 W GLIWICACH,"Lipowa 29, 44-102 Gliwice",2466011
przedszkole,PRZEDSZKOLE SAMORZĄDOWE NR 42 IM. ŚW. MIKOŁAJA W KIELCACH,"Elizy Orzeszkowej 26, 25-408 Kielce",2661011
