kategoria,nazwa,adres,teryt_gmina
poz,OTTO - PRODENT Ewa Staniszewska Filia nr 10,"Strzegomska 210-212, 54-432 Wrocław",0264029
poz,OTTO - PRODENT Ewa Staniszewska Filia nr 11,"Łukasza Górnickiego 20, 50-337 Wrocław",0264011
poz,PULSANTIS MAX,"Aleksandra Ostrowskiego 3, 53-238 Wrocław",0264029
poz,CENTRUM ZDROWIA PSYCHICZNEGO,"Stalowa 50, 53-433 Wrocław",0264011
poz,Przychodnia Kozanów,"Dokerska 9, 54-142 Wrocław",0264011
poz,Przychodnia Stabłowice,"Stabłowicka 125, 54-062 Wrocław",0264011
poz,Ośrodek Dziecięcych Porażeń Mózgowych Puchatek,"Samuela Bogumiła Lindego 19-21, 51-138 Wrocław",0264011
poz,Przychodnia Stare Miasto,"Dominikański 6, 50-159 Wrocław",0264011
poz,Ośrodek Opieki Zdrowotnej i Rehabilitacji CELMED,"Celtycka 15/17, 54-153 Wrocław",0264011
poz,Ośrodek Profilaktyczno-Leczniczy Chorób Zakaźnych i Terapii Uzależnień,"Wszystkich Świętych 2, 50-136 Wrocław",0264011
poz,"Przychodnia ""PROVITA""","Bierutowska 63, 51-317 Wrocław",0264011
poz,Praktyka Lekarza Rodzinnego Agata Wrońska - Kocąb,"Floriana Szarego 4, 57-300 Kłodzko",0208021
poz,Makowska & Kucharski DENT,"Sportowa 1B, 67-200 Głogów",0203011
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""AK MED""","Westerplatte 10, 58-100 Świdnica",0219011
poz,CORDIS S.C.,"Wiosenna 41, 55-093 Kiełczów",0223022
poz,ONKOMED Specjalistyczna Przychodnia Lekarska Marek Bębenek,"Tadeusza Kościuszki 109A/1U, 50-442 Wrocław",0264039
poz,"Centrum Medyczne ""Nowe Miasto""","11 Listopada 116, 58-302 Wałbrzych",0265011
poz,"Centrum Medyczne ""Nowe Miasto"" Filia w Zagórzu Śląskim","Główna 15, 58-320 Zagórze Śląskie",0221082
poz,"Centrum Medyczne ""Nowe Miasto"" Filia w Jedlinie-Zdroju","Akacjowa 2, 58-330 Jedlina-Zdrój",0221021
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""MEDYK"" s.c. B. Grzesiak, K. Kowalik, A. Wydra","Stefana Okrzei 6, 59-800 Lubań",0210011
poz,Praktyka Lekarza Rodzinnego Ewa Stocka - Błażejewska,"Partyzantów 72, 51-675 Wrocław-Śródmieście",0264069
poz,Podstawowa Opieka Zdrowotna,"Sprzymierzonych 4, 58-560 Jelenia Góra",0261011
poz,Szpital w Kłodzku,"Szpitalna 1, 57-300 Kłodzko",0208021
poz,Szpital w Nowej Rudzie,"Szpitalna 8, 57-400 Nowa Ruda",0208041
poz,Szpital Uzdrowiskowo - Rehabilitacyjny w Kudowie Zdroju,"Zdrojowa 36C, 57-350 Kudowa-Zdrój",0208031
poz,Rehabilitacja Lecznicza,"Zawiszy Czarnego 2, 57-300 Kłodzko",0208021
poz,Przychodnia w Kłodzku,"Wojska Polskiego 16, 57-300 Kłodzko",0208021
poz,Szpital Powiatowy,"Prusicka 53-55, 55-100 Trzebnica",0220034
poz,Szpital Rehabilitacyjny w Żmigrodzie,"Willowa 4, 55-140 Żmigród",0220064
poz,"PLR ""PRO HOMINE""","Walońska 9, 50-413 Wrocław",0264011
poz,Sana Familia,"Walońska 9, 50-413 Wrocław",0264039
poz,Zespół Szpitali Uzdrowiskowo- Rehabilitacyjnych Lądek-Zdrój,"Wolności 2, 57-540 Lądek-Zdrój",0208084
poz,"Szpital Uzdrowiskowy ""Mieszko"" Długopole-Zdrój","Zdrojowa 8, 57-520 Długopole-Zdrój",0208065
poz,Zespół Sanatoriów Uzdrowiskowych Lądek-Zdrój,"Wolności 4, 57-540 Lądek-Zdrój",0208084
poz,Przychodnie i Poradnie Lądek- Zdrój,"Mariański 13, 57-540 Lądek-Zdrój",0208084
poz,Przychodnie i Poradnie Długopole-Zdrój,"Zdrojowa 16, 57-520 Długopole-Zdrój",0208065
poz,Praktyka Lekarza Rodzinnego,"Szalejów Dolny 69, 57-314 Szalejów Górny",0208072
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""FAMILIA"" s.c.","Hutnicza 29, 59-930 Pieńsk",0225044
poz,"Stomatologia ""DENS"" s.c. Durynek","Zgorzelecka 5, 59-700 Bolesławiec",0201011
poz,"Niepubliczny Zakład Opieki Zdrowotnej ""Medicus"" sp. z o.o.","Armii Krajowej 56, 58-130 Żarów",0219084
poz,"""SPRAWNI"" Przychodnia Rehabilitacyjna","Chojnowska 112, 59-220 Legnica",0262011
poz,Przychodnia Krzysztof,"Bolesława Chrobrego 2, 58-300 Wałbrzych",0265011
poz,Przychodnia Specjalistyczna Filia Podzamcze,"Grodzka 73, 58-314 Wałbrzych",0265011
poz,Przychodnia Specjalistyczna Filia Uczniowska,"Uczniowska 21, 58-306 Wałbrzych",0265011
poz,Przychodnia Specjalistyczna Filia Świebodzice,"Wałbrzyska 33, 58-160 Świebodzice",0219021
poz,Przychodnia Specjalistyczna Filia Szczawno Zdrój,"Zacisze 3, 58-310 Szczawno-Zdrój",0221031
poz,Niepubliczny Zakład Opieki Zdrowotnej Praktyka Lekarza Rodzinnego Wiesław Iwanowski,"Stefana Żeromskiego 61, 58-260 Bielawa",0202011
poz,Niepubliczny Zakład Opieki Zdrowotnej Praktyka Lekarza Rodzinnego Władysław Kruszniewicz,"Władysława Łokietka 13, 58-100 Świdnica",0219011
poz,Niepubliczny Zakład Opieki Zdrowotnej Poradnia Opieki Hospicyjno - Palitywnej,"Zygmunta Krasińskiego 8, 58-309 Wałbrzych",0265011
poz,Praktyka Lekarza Rodzinnego Beata Stecka,"Komuny Paryskiej 73 A, 50-452 Wrocław",0264039
poz,"Praktyka Lekarzy Rodzinnych Mariusz Domański, Violetta Domańska","Eugeniusza Gepperta 13, 50-072 Wrocław",0264059
poz,Remedium Sp. z o.o.,"Henryka Sienkiewicza 6B, 57-500 Bystrzyca Kłodzka",0208064
poz,Remedium Sp. z o.o.,"Henryka Sienkiewicza 8, 57-500 Bystrzyca Kłodzka",0208064
poz,Praktyka Lekarza Rodzinnego,"Katowicka 1, 58-303 Wałbrzych",0265011
poz,"Praktyka Lekarza Rodzinnego KINESIS, Jan Pędziwiatr","Ignacego Paderewskiego 2, 58-260 Bielawa",0202011
poz,GOZ Miłkowice,"Działkowa 2A, 59-222 Miłkowice",0209062
poz,SALUS Centrum Medyczne  Oddział Leczenia Jednego Dnia,"Janusza Kusocińskiego 3A, 57-300 Kłodzko",0208021
poz,Salus Centrum Medyczne filia w Ołdrzychowicach Kłodzkich,"Kłodzka 67, 57-360 Ołdrzychowice Kłodzkie",0208072
poz,Salus Centrum Medyczne filia w Międzylesiu,"Powstańców Śląskich 8, 57-530 Międzylesie",0208104
poz,Salus Centrum Medyczne filia w Domaszkowie,"Kolejowa 10, 57-522 Domaszków",0208105
poz,Salus Centrum Medyczne filia w Słupcu,"Spacerowa 15a, 57-400 Nowa Ruda",0208041
poz,Salus Centrum Medyczne filia w Szczytnej Szpitalna,"Szpitalna 1, 57-330 Szczytna",0208144
poz,Salus Centrum Medyczne Fillia w Kłodzku Łąkowa,"Łąkowa 5, 57-300 Kłodzko",0208021
poz,Salus Centrum Medyczne Filia w Nowej Rudzie,"marsz. Józefa Piłsudskiego 2, 57-400 Nowa Ruda",0208041
poz,SALUS Centrum Medyczne filia w Dusznikach,"Polna 7, 57-340 Duszniki-Zdrój",0208011
poz,Salus Centrum Medyczne Filia w Bożkowie,"Bożków 53, 57-441 Bożków",0208112
poz,Salus Centrum Medyczne Fillia w Kłodzku Letnia,"Letnia 14, 57-300 Kłodzko",0208021
poz,Salus Centrum Medyczne filia w Ząbkowicach Śląskich,"Powstańców Warszawy 8W, 57-200 Ząbkowice Śląskie",0224054
poz,Praktyka Lekarza Rodzinnego,"3 Maja 25, 57-250 Złoty Stok",0224074
poz,Praktyka Lekarza Rodzinnego,"Główna 161A, 58-312 Stare Bogaczowice",0221072
poz,Praktyka Lekarza Rodzinnego Tomasz Kubicki,"Mikołaja Sępa-Szarzyńskiego 30, 50-351 Wrocław",0264011
poz,EVADENT s.c. Centrum Stomatologii Laserowej i Protetyki,"Zenona Miriama Przesmyckiego 28, 51-151 Wrocław",0264049
poz,Dzienny Ośrodek Rehabilitacyjno - Wychowawczy,"Mikołaja Kopernika 20, 56-300 Milicz",0213034
poz,Szpital Specjalistyczny im. A. Falkiewicza,"Warszawska 2, 52-114 Wrocław",0264011
poz,Zakład Opiekuńczo Leczniczy dla Dzieci,"Lipowa 44, 55-040 Wierzbice",0223052
poz,Centrum Medyczne DOBRZYŃSKA,"Dobrzyńska 21/23, 50-403 Wrocław",0264011
poz,"NZOZ ""Zespół Praktyk Lekarskich"" EWA CHRZANOWSKA, KRYSTYNA WOLAŃSKA, PIOTR WOLAŃSKI sp. z o.o.","Tęczowe 12A, 58-200 Dzierżoniów",0202021
poz,Praktyka Lekarzy Rodzinnych,"Kazimierza Wielkiego 15B, 56-200 Góra",0204014
poz,Manamedica Centrum Medyczne Sp. z o.o. Przychodnia nr 1,"Inwalidów Wojennych 13, 56-100 Wołów",0222034
poz,Centrum Profilaktyki i Leczenia Udarów Mózgu,"Jeleniogórska 4, 59-700 Bolesławiec",0201011
poz,Zespoły Ratownictwa Medycznego,"Orla 8, 59-700 Bolesławiec",0201011
