kategoria,nazwa,adres,teryt_gmina
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W PRUDNIKU,"Podgórna 9, 48-200 Prudnik",1610044
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 2 W PRUDNIKU,"Szkolna 12, 48-200 Prudnik",1610044
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 7 W KRAKOWIE,"Skotnicka 86, 30-394 Kraków-Podgórze",1261049
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W GLIWICACH,"Jana Kilińskiego 1, 44-122 Gliwice",2466011
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 9 W KRAKOWIE,"Romana Prawocheńskiego 7, 31-998 Kraków-Nowa Huta",1261039
szkola,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 18 W KRAKOWIE,"Senatorska 35, 30-106 Kraków-Krowodrza",1261029
szkola,ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W CHOCIANOWICACH,"Chocianowice 78, 46-280 Chocianowice",1604032
szkola,"CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO ""ELEKTRYK""","Kościuszki 28, 67-100 Nowa Sól",0804011
szkola,ZESPÓŁ SZKÓŁ PUBLICZNYCH NR 1 W SKARŻYSKU-KAMIENNEJ,"Sezamkowa 23, 26-110 Skarżysko-Kamienna",2610011
szkola,ZESPÓŁ SZKÓŁ NIEPUBLICZNYCH W JANOWCU WIELKOPOLSKIM,"3 Maja 30, 88-430 Janowiec Wielkopolski",0419034
szkola,ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W KOLECZKOWIE,"Wejherowska 24, 84-207 Koleczkowo",2215092
szkola,ZESPÓŁ KSZTAŁCENIA I WYCHOWANIA W KOLBUDACH,"gen. Józefa Wybickiego 33, 83-050 Kolbudy",2204032
